SVt	SV	Vt	V	SSVt	SSV	PSSVt	PSSV
15.8	255666	-	-	23.3167	54225.6	17.6167	52639.4
15.8333	255624	-	-	23.3833	54222.2	17.65	52631
15.8667	255312	-	-	23.4333	54193.9	17.7	52467.3
15.9167	255301	-	-	23.5	54114.7	17.7333	52465.8
15.95	255095	-	-	23.5667	54116.4	17.7833	52460.2
15.9833	254345	-	-	23.6167	54112.6	17.8333	52435.7
16.0333	254327	-	-	23.6833	54092.2	17.8667	52425.6
16.0667	254138	-	-	23.75	54052.8	17.9	52435.9
16.1	254077	-	-	23.8	54056.2	17.95	52435.9
16.15	253510	-	-	23.85	54047.3	18	52460
16.1833	253168	-	-	23.9333	54037.6	18.0333	52435
16.2167	253190	-	-	23.9833	54027.2	18.0833	52419.8
16.2667	253010	-	-	24.05	53923.4	18.1167	52430.7
16.3	252952	-	-	24.1	53916.7	18.1667	52430.4
16.3333	252975	-	-	24.15	53908.8	18.2	52386.4
16.3667	252919	-	-	24.2167	53905.1	18.25	52299.1
16.4167	252941	-	-	24.2667	53910	18.3	52301.1
16.45	252963	-	-	24.3167	53903.6	18.3333	52294.8
16.4833	252986	-	-	24.3833	53663.2	18.3833	52304.5
16.5333	252898	-	-	24.4333	53656.2	18.4167	52307.1
16.5667	252618	-	-	24.4833	53649.3	18.4667	52254.9
16.6	252640	-	-	24.55	53651.3	18.5	52260.6
16.65	252664	-	-	24.6	53631.7	18.5333	52241
16.6833	252617	-	-	24.6667	53624.1	18.5833	52208.3
16.7167	252639	-	-	24.7167	53609.5	18.6333	52116.9
16.7667	252513	-	-	24.7667	53613.5	18.6667	52128.1
16.8	252367	-	-	24.8333	53618.6	18.7167	52118
16.8333	252271	-	-	24.8833	53605.3	18.75	52144.2
